Groups:
camcap:camcap_1|data_in_R[7..0] =, camcap:camcap_1|data_in_R[7], camcap:camcap_1|data_in_R[6], camcap:camcap_1|data_in_R[5], camcap:camcap_1|data_in_R[4], camcap:camcap_1|data_in_R[3], camcap:camcap_1|data_in_R[2], camcap:camcap_1|data_in_R[1], camcap:camcap_1|data_in_R[0],  hex

Data:
time unit: ps, camcap:camcap_1|data_in_R[7..0], camcap:camcap_1|data_in_R[7], camcap:camcap_1|data_in_R[6], camcap:camcap_1|data_in_R[5], camcap:camcap_1|data_in_R[4], camcap:camcap_1|data_in_R[3], camcap:camcap_1|data_in_R[2], camcap:camcap_1|data_in_R[1], camcap:camcap_1|data_in_R[0], camcap:camcap_1|trig_0_R, 
0, XX, X, X, X, X, X, X, X, X, X, 
2560, BF, 1, 0, 1, 1, 1, 1, 1, 1, 0, 
2580, C0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 
2600, C1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 
2620, C2, 1, 1, 0, 0, 0, 0, 1, 0, 0, 
2640, C3, 1, 1, 0, 0, 0, 0, 1, 1, 0, 
2660, C4, 1, 1, 0, 0, 0, 1, 0, 0, 0, 
2680, C5, 1, 1, 0, 0, 0, 1, 0, 1, 0, 
2700, C6, 1, 1, 0, 0, 0, 1, 1, 0, 0, 
2720, C7, 1, 1, 0, 0, 0, 1, 1, 1, 0, 
2740, C8, 1, 1, 0, 0, 1, 0, 0, 0, 0, 
2760, C9, 1, 1, 0, 0, 1, 0, 0, 1, 0, 
2780, CA, 1, 1, 0, 0, 1, 0, 1, 0, 0, 
2800, CB, 1, 1, 0, 0, 1, 0, 1, 1, 0, 
2820, CC, 1, 1, 0, 0, 1, 1, 0, 0, 0, 
2840, CD, 1, 1, 0, 0, 1, 1, 0, 1, 0, 
2860, CE, 1, 1, 0, 0, 1, 1, 1, 0, 0, 
2880, CF, 1, 1, 0, 0, 1, 1, 1, 1, 0, 
2900, D0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 
2920, D1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 
2940, D2, 1, 1, 0, 1, 0, 0, 1, 0, 0, 
2960, D3, 1, 1, 0, 1, 0, 0, 1, 1, 0, 
2980, D4, 1, 1, 0, 1, 0, 1, 0, 0, 0, 
3000, D5, 1, 1, 0, 1, 0, 1, 0, 1, 0, 
3020, D6, 1, 1, 0, 1, 0, 1, 1, 0, 0, 
3040, D7, 1, 1, 0, 1, 0, 1, 1, 1, 0, 
3060, D8, 1, 1, 0, 1, 1, 0, 0, 0, 0, 
3080, D9, 1, 1, 0, 1, 1, 0, 0, 1, 0, 
3100, DA, 1, 1, 0, 1, 1, 0, 1, 0, 0, 
3120, DB, 1, 1, 0, 1, 1, 0, 1, 1, 0, 
3140, DC, 1, 1, 0, 1, 1, 1, 0, 0, 0, 
3160, DD, 1, 1, 0, 1, 1, 1, 0, 1, 0, 
3180, DE, 1, 1, 0, 1, 1, 1, 1, 0, 0, 
3200, DF, 1, 1, 0, 1, 1, 1, 1, 1, 0, 
3220, E0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 
3240, E1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 
3260, E2, 1, 1, 1, 0, 0, 0, 1, 0, 0, 
